iter	Passed	Remaining
0	129	129514
1	133	66389
2	136	45248
3	139	34707
4	143	28487
5	146	24256
6	149	21203
7	152	18946
8	156	17197
9	159	15782
10	162	14637
11	166	13697
12	169	12872
13	173	12185
14	176	11583
15	179	11031
16	182	10579
17	186	10172
18	189	9780
19	191	9402
20	194	9059
21	196	8718
22	197	8405
23	199	8117
24	201	7855
25	202	7592
26	203	7348
27	205	7127
28	206	6915
29	207	6720
30	209	6536
31	210	6363
32	211	6200
33	212	6045
34	213	5897
35	215	5758
36	216	5627
37	217	5504
38	218	5384
39	219	5275
40	220	5168
41	222	5067
42	223	4970
43	224	4877
44	225	4789
45	226	4704
46	227	4622
47	229	4543
48	230	4470
49	231	4398
50	232	4328
51	233	4260
52	234	4196
53	235	4132
54	237	4072
55	238	4016
56	239	3960
57	241	3925
58	243	3884
59	244	3833
60	245	3784
61	246	3735
62	248	3690
63	249	3645
64	250	3602
65	251	3560
66	252	3520
67	253	3472
68	254	3434
69	255	3398
70	256	3361
71	258	3326
72	259	3291
73	260	3256
74	261	3224
75	262	3191
76	263	3160
77	264	3131
78	266	3102
79	267	3074
80	268	3045
81	269	3017
82	270	2991
83	272	2966
84	272	2935
85	273	2910
86	274	2881
87	275	2858
88	276	2833
89	278	2811
90	279	2790
91	280	2768
92	281	2747
93	282	2726
94	284	2706
95	285	2686
96	286	2666
97	287	2646
98	288	2627
99	289	2609
100	291	2591
101	291	2568
102	292	2551
103	294	2535
104	295	2518
105	296	2501
106	297	2484
107	298	2467
108	300	2452
109	301	2437
110	302	2421
111	303	2407
112	304	2392
113	305	2377
114	307	2362
115	308	2347
116	309	2334
117	310	2320
118	311	2305
119	312	2291
120	313	2279
121	314	2266
122	315	2249
123	316	2236
124	317	2224
125	318	2212
126	320	2200
127	320	2184
128	321	2173
129	323	2162
130	324	2151
131	325	2140
132	326	2130
133	327	2119
134	329	2108
135	330	2099
136	331	2088
137	332	2077
138	333	2067
139	334	2056
140	336	2047
141	337	2037
142	338	2029
143	339	2019
144	340	2009
145	341	2000
146	343	1991
147	344	1982
148	345	1973
149	346	1964
150	347	1955
151	348	1946
152	350	1938
153	351	1929
154	352	1920
155	353	1913
156	354	1904
157	355	1896
158	356	1888
159	358	1880
160	359	1872
161	360	1864
162	361	1857
163	362	1850
164	364	1842
165	365	1835
166	366	1828
167	367	1820
168	368	1813
169	369	1805
170	371	1798
171	372	1791
172	373	1784
173	374	1777
174	375	1771
175	376	1764
176	378	1757
177	379	1752
178	380	1746
179	381	1739
180	382	1730
181	383	1723
182	384	1717
183	385	1711
184	386	1704
185	388	1698
186	389	1692
187	390	1685
188	391	1679
189	392	1674
190	393	1667
191	394	1661
192	396	1656
193	397	1650
194	398	1644
195	399	1638
196	400	1632
197	401	1626
198	402	1620
199	403	1615
200	404	1609
201	405	1603
202	407	1598
203	408	1593
204	409	1587
205	410	1582
206	411	1577
207	412	1572
208	414	1567
209	415	1562
210	416	1557
211	417	1551
212	418	1546
213	419	1541
214	420	1536
215	421	1531
216	423	1526
217	424	1521
218	425	1516
219	426	1512
220	427	1507
221	428	1502
222	429	1498
223	431	1493
224	432	1488
225	433	1484
226	434	1479
227	435	1474
228	436	1470
229	437	1466
230	439	1461
231	440	1457
232	441	1452
233	442	1448
234	443	1443
235	444	1439
236	445	1435
237	446	1430
238	447	1426
239	449	1422
240	450	1418
241	451	1414
242	452	1411
243	454	1406
244	455	1402
245	456	1398
246	457	1394
247	458	1391
248	459	1387
249	461	1383
250	462	1379
251	463	1375
252	464	1371
253	465	1367
254	466	1363
255	467	1359
256	469	1356
257	470	1352
258	471	1348
259	472	1344
260	473	1340
261	474	1336
262	475	1333
263	476	1329
264	478	1325
265	479	1322
266	480	1318
267	481	1315
268	482	1311
269	483	1307
270	484	1304
271	486	1301
272	487	1297
273	488	1293
274	489	1290
275	490	1286
276	491	1283
277	492	1280
278	494	1277
279	495	1273
280	496	1270
281	497	1266
282	498	1263
283	499	1260
284	501	1256
285	502	1253
286	503	1250
287	504	1246
288	505	1243
289	506	1240
290	507	1237
291	509	1234
292	510	1231
293	511	1228
294	512	1224
295	513	1221
296	514	1218
297	515	1215
298	517	1212
299	518	1209
300	519	1206
301	520	1203
302	521	1200
303	523	1197
304	524	1194
305	525	1192
306	526	1189
307	528	1186
308	529	1183
309	530	1180
310	531	1177
311	532	1175
312	534	1172
313	535	1169
314	536	1166
315	537	1163
316	538	1160
317	539	1157
318	540	1154
319	542	1151
320	543	1149
321	544	1146
322	545	1143
323	546	1140
324	547	1137
325	548	1134
326	549	1131
327	551	1128
328	552	1126
329	553	1123
330	554	1121
331	555	1118
332	556	1115
333	558	1112
334	559	1109
335	560	1107
336	561	1104
337	562	1101
338	563	1098
339	564	1096
340	565	1093
341	567	1090
342	568	1089
343	569	1086
344	570	1083
345	571	1081
346	573	1078
347	574	1075
348	575	1073
349	576	1070
350	577	1067
351	578	1064
352	579	1062
353	580	1059
354	581	1057
355	583	1054
356	584	1052
357	585	1049
358	586	1047
359	587	1045
360	588	1042
361	590	1039
362	591	1037
363	592	1034
364	593	1032
365	594	1030
366	596	1028
367	597	1025
368	598	1023
369	599	1020
370	600	1018
371	601	1016
372	603	1013
373	604	1011
374	605	1008
375	606	1006
376	607	1004
377	608	1001
378	609	999
379	610	996
380	611	994
381	613	991
382	614	989
383	615	987
384	616	984
385	617	982
386	618	980
387	619	977
388	620	975
389	622	973
390	623	970
391	624	968
392	625	966
393	626	963
394	627	961
395	629	959
396	630	957
397	631	954
398	632	952
399	633	950
400	634	948
401	635	946
402	637	944
403	638	942
404	639	939
405	640	937
406	642	935
407	643	933
408	644	931
409	645	929
410	646	926
411	647	924
412	648	922
413	650	920
414	651	918
415	652	915
416	653	913
417	654	911
418	655	909
419	657	907
420	658	905
421	659	903
422	660	900
423	661	898
424	662	896
425	664	894
426	665	892
427	666	890
428	667	888
429	668	885
430	669	883
431	670	881
432	671	879
433	672	877
434	674	875
435	675	873
436	676	871
437	677	869
438	678	867
439	679	865
440	680	863
441	682	861
442	683	859
443	684	857
444	686	855
445	687	854
446	688	852
447	690	850
448	691	848
449	692	846
450	693	844
451	694	842
452	696	840
453	697	838
454	698	837
455	699	835
456	701	832
457	702	830
458	703	828
459	704	826
460	705	824
461	706	822
462	707	820
463	708	818
464	709	816
465	711	814
466	712	812
467	713	810
468	714	808
469	715	806
470	716	804
471	717	802
472	718	800
473	719	798
474	721	796
475	722	794
476	723	792
477	724	791
478	725	789
479	726	787
480	727	785
481	729	783
482	730	781
483	731	779
484	732	777
485	733	776
486	735	774
487	736	772
488	737	770
489	738	768
490	740	767
491	741	765
492	742	763
493	743	761
494	744	759
495	745	757
496	746	755
497	747	753
498	749	752
499	750	750
500	751	748
501	752	746
502	753	744
503	754	742
504	755	741
505	757	739
506	758	737
507	759	735
508	760	733
509	761	731
510	762	730
511	764	728
512	765	726
513	766	724
514	767	723
515	769	721
516	770	719
517	771	717
518	772	715
519	773	714
520	774	712
521	775	710
522	777	708
523	778	706
524	779	705
525	780	703
526	781	701
527	782	699
528	783	697
529	784	696
530	786	694
531	787	692
532	788	690
533	789	689
534	790	687
535	791	685
536	793	683
537	794	681
538	795	680
539	796	678
540	797	676
541	798	674
542	799	673
543	801	671
544	802	669
545	803	667
546	804	666
547	805	664
548	806	662
549	807	661
550	809	659
551	810	657
552	811	655
553	812	654
554	814	652
555	815	651
556	816	649
557	817	647
558	818	645
559	819	644
560	820	642
561	822	640
562	823	639
563	824	637
564	825	635
565	826	633
566	827	632
567	829	630
568	830	628
569	831	627
570	832	625
571	833	623
572	834	622
573	835	620
574	837	618
575	838	616
576	839	615
577	840	613
578	841	611
579	842	610
580	843	608
581	845	606
582	846	605
583	847	603
584	848	601
585	849	600
586	850	598
587	851	596
588	853	595
589	854	593
590	855	591
591	856	590
592	857	588
593	858	587
594	860	585
595	861	583
596	862	582
597	863	580
598	864	578
599	865	577
600	866	575
601	867	573
602	868	572
603	870	570
604	871	568
605	872	567
606	873	565
607	874	563
608	875	562
609	876	560
610	878	559
611	879	557
612	880	555
613	881	554
614	882	552
615	883	550
616	884	549
617	886	547
618	887	546
619	888	544
620	889	543
621	890	541
622	892	539
623	893	538
624	894	536
625	895	535
626	896	533
627	897	531
628	899	530
629	900	528
630	901	527
631	902	525
632	903	524
633	905	522
634	906	520
635	907	519
636	908	517
637	910	516
638	911	514
639	912	513
640	914	511
641	915	510
642	916	508
643	917	507
644	918	505
645	919	504
646	921	502
647	922	500
648	923	499
649	924	497
650	925	496
651	927	494
652	928	493
653	929	491
654	930	490
655	931	488
656	932	486
657	933	485
658	934	483
659	936	482
660	937	480
661	938	479
662	939	477
663	940	475
664	941	474
665	943	472
666	944	471
667	945	469
668	946	468
669	947	466
670	948	465
671	949	463
672	950	462
673	952	460
674	953	458
675	954	457
676	955	455
677	956	454
678	957	452
679	959	451
680	960	449
681	961	448
682	962	446
683	963	445
684	964	443
685	965	442
686	966	440
687	968	439
688	969	437
689	970	436
690	971	434
691	972	432
692	973	431
693	975	429
694	976	428
695	977	426
696	978	425
697	979	423
698	980	422
699	982	420
700	983	419
701	984	417
702	985	416
703	986	414
704	987	413
705	988	411
706	989	410
707	990	408
708	991	407
709	993	405
710	994	404
711	995	402
712	996	401
713	997	399
714	998	398
715	999	396
716	1000	395
717	1002	393
718	1003	392
719	1004	390
720	1005	389
721	1006	387
722	1007	386
723	1009	384
724	1010	383
725	1011	381
726	1012	380
727	1013	378
728	1015	377
729	1016	375
730	1017	374
731	1018	372
732	1019	371
733	1020	369
734	1022	368
735	1023	366
736	1024	365
737	1025	364
738	1026	362
739	1027	361
740	1028	359
741	1030	358
742	1031	356
743	1032	355
744	1033	353
745	1034	352
746	1036	350
747	1037	349
748	1038	347
749	1039	346
750	1040	344
751	1041	343
752	1042	342
753	1043	340
754	1044	339
755	1046	337
756	1047	336
757	1048	334
758	1049	333
759	1050	331
760	1051	330
761	1052	328
762	1054	327
763	1055	325
764	1056	324
765	1057	323
766	1058	321
767	1059	320
768	1061	318
769	1062	317
770	1063	315
771	1064	314
772	1065	312
773	1066	311
774	1068	310
775	1069	308
776	1070	307
777	1071	305
778	1072	304
779	1074	302
780	1075	301
781	1076	300
782	1077	298
783	1078	297
784	1079	295
785	1080	294
786	1082	292
787	1083	291
788	1084	290
789	1085	288
790	1086	287
791	1088	285
792	1089	284
793	1090	282
794	1091	281
795	1092	279
796	1093	278
797	1094	277
798	1095	275
799	1097	274
800	1098	272
801	1099	271
802	1100	270
803	1101	268
804	1102	267
805	1103	265
806	1105	264
807	1106	262
808	1107	261
809	1108	260
810	1109	258
811	1111	257
812	1112	255
813	1113	254
814	1114	253
815	1115	251
816	1116	250
817	1117	248
818	1118	247
819	1120	245
820	1121	244
821	1122	243
822	1123	241
823	1124	240
824	1125	238
825	1126	237
826	1128	235
827	1129	234
828	1130	233
829	1131	231
830	1132	230
831	1133	228
832	1134	227
833	1136	226
834	1137	224
835	1138	223
836	1139	221
837	1140	220
838	1141	219
839	1143	217
840	1144	216
841	1145	214
842	1146	213
843	1147	212
844	1149	210
845	1150	209
846	1151	207
847	1152	206
848	1153	205
849	1154	203
850	1155	202
851	1156	200
852	1157	199
853	1159	198
854	1160	196
855	1161	195
856	1162	193
857	1163	192
858	1164	191
859	1165	189
860	1167	188
861	1168	187
862	1169	185
863	1170	184
864	1171	182
865	1173	181
866	1174	180
867	1175	178
868	1176	177
869	1177	175
870	1178	174
871	1179	173
872	1181	171
873	1182	170
874	1183	169
875	1184	167
876	1185	166
877	1186	164
878	1188	163
879	1189	162
880	1190	160
881	1191	159
882	1192	158
883	1193	156
884	1194	155
885	1195	153
886	1197	152
887	1198	151
888	1199	149
889	1200	148
890	1201	147
891	1202	145
892	1204	144
893	1205	142
894	1206	141
895	1207	140
896	1208	138
897	1210	137
898	1211	136
899	1212	134
900	1213	133
901	1214	131
902	1215	130
903	1216	129
904	1218	127
905	1219	126
906	1220	125
907	1221	123
908	1222	122
909	1223	121
910	1224	119
911	1225	118
912	1226	116
913	1228	115
914	1229	114
915	1230	112
916	1231	111
917	1232	110
918	1233	108
919	1235	107
920	1236	106
921	1237	104
922	1238	103
923	1239	101
924	1240	100
925	1241	99
926	1243	97
927	1244	96
928	1245	95
929	1246	93
930	1247	92
931	1248	91
